Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TCL","Cultures et produits animaux","9","Argentine","5910","Exportations - Quantité","592","Kiwis","2018","2018","tonnes","451","","Donnée officielle"
"TCL","Cultures et produits animaux","9","Argentine","5910","Exportations - Quantité","592","Kiwis","2019","2019","tonnes","682","","Donnée officielle"
"TCL","Cultures et produits animaux","9","Argentine","5910","Exportations - Quantité","571","Mangues, mangoustans et goyaves","2017","2017","tonnes","7","","Donnée officielle"
"TCL","Cultures et produits animaux","9","Argentine","5910","Exportations - Quantité","568","Melons, cantaloups","2017","2017","tonnes","12","","Donnée officielle"
"TCL","Cultures et produits animaux","9","Argentine","5910","Exportations - Quantité","567","Pastèques","2017","2017","tonnes","7","","Donnée officielle"
"TCL","Cultures et produits animaux","9","Argentine","5910","Exportations - Quantité","567","Pastèques","2018","2018","tonnes","739","","Donnée officielle"
"TCL","Cultures et produits animaux","1","Arménie","5910","Exportations - Quantité","574","Ananas","2019","2019","tonnes","1","","Donnée officielle"
"TCL","Cultures et produits animaux","1","Arménie","5910","Exportations - Quantité","486","Bananes","2018","2018","tonnes","4","","Donnée officielle"
"TCL","Cultures et produits animaux","1","Arménie","5910","Exportations - Quantité","486","Bananes","2019","2019","tonnes","11","","Donnée officielle"
"TCL","Cultures et produits animaux","1","Arménie","5910","Exportations - Quantité","569","Figues","2018","2018","tonnes","371","","Donnée officielle"
"TCL","Cultures et produits animaux","1","Arménie","5910","Exportations - Quantité","569","Figues","2019","2019","tonnes","893","","Donnée officielle"
"TCL","Cultures et produits animaux","1","Arménie","5910","Exportations - Quantité","592","Kiwis","2017","2017","tonnes","696","","Donnée officielle"
"TCL","Cultures et produits animaux","1","Arménie","5910","Exportations - Quantité","592","Kiwis","2018","2018","tonnes","982","","Donnée officielle"
"TCL","Cultures et produits animaux","1","Arménie","5910","Exportations - Quantité","592","Kiwis","2019","2019","tonnes","633","","Donnée officielle"
"TCL","Cultures et produits animaux","1","Arménie","5910","Exportations - Quantité","568","Melons, cantaloups","2017","2017","tonnes","123","","Donnée officielle"
"TCL","Cultures et produits animaux","1","Arménie","5910","Exportations - Quantité","568","Melons, cantaloups","2018","2018","tonnes","51","","Donnée officielle"
"TCL","Cultures et produits animaux","1","Arménie","5910","Exportations - Quantité","568","Melons, cantaloups","2019","2019","tonnes","1","","Donnée officielle"
"TCL","Cultures et produits animaux","1","Arménie","5910","Exportations - Quantité","567","Pastèques","2017","2017","tonnes","193","","Donnée officielle"
"TCL","Cultures et produits animaux","1","Arménie","5910","Exportations - Quantité","567","Pastèques","2019","2019","tonnes","0","","Donnée officielle"
"TCL","Cultures et produits animaux","10","Australie","5910","Exportations - Quantité","574","Ananas","2017","2017","tonnes","29","","Donnée officielle"
"TCL","Cultures et produits animaux","10","Australie","5910","Exportations - Quantité","574","Ananas","2018","2018","tonnes","12","","Donnée officielle"
"TCL","Cultures et produits animaux","10","Australie","5910","Exportations - Quantité","574","Ananas","2019","2019","tonnes","18","","Donnée officielle"
