Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","26","Brunéi Darussalam","5532","Prix à la Production (USD/tonne)","600","Papayes","2017","2017","7021","Valeur annuel","USD","933","","Donnée officielle"
"PP","Prix à la Production","26","Brunéi Darussalam","5532","Prix à la Production (USD/tonne)","567","Pastèques","2017","2017","7021","Valeur annuel","USD","1052","","Donnée officielle"
"PP","Prix à la Production","26","Brunéi Darussalam","5532","Prix à la Production (USD/tonne)","574","Ananas","2018","2018","7021","Valeur annuel","USD","1685","","Donnée officielle"
"PP","Prix à la Production","26","Brunéi Darussalam","5532","Prix à la Production (USD/tonne)","486","Bananes","2018","2018","7021","Valeur annuel","USD","1363","","Donnée officielle"
"PP","Prix à la Production","26","Brunéi Darussalam","5532","Prix à la Production (USD/tonne)","600","Papayes","2018","2018","7021","Valeur annuel","USD","986","","Donnée officielle"
"PP","Prix à la Production","26","Brunéi Darussalam","5532","Prix à la Production (USD/tonne)","567","Pastèques","2018","2018","7021","Valeur annuel","USD","1179","","Donnée officielle"
"PP","Prix à la Production","26","Brunéi Darussalam","5532","Prix à la Production (USD/tonne)","574","Ananas","2019","2019","7021","Valeur annuel","USD","1496","","Donnée officielle"
"PP","Prix à la Production","26","Brunéi Darussalam","5532","Prix à la Production (USD/tonne)","486","Bananes","2019","2019","7021","Valeur annuel","USD","1325","","Donnée officielle"
"PP","Prix à la Production","26","Brunéi Darussalam","5532","Prix à la Production (USD/tonne)","600","Papayes","2019","2019","7021","Valeur annuel","USD","1011","","Donnée officielle"
"PP","Prix à la Production","26","Brunéi Darussalam","5532","Prix à la Production (USD/tonne)","567","Pastèques","2019","2019","7021","Valeur annuel","USD","1160","","Donnée officielle"
"PP","Prix à la Production","27","Bulgarie","5532","Prix à la Production (USD/tonne)","567","Pastèques","2017","2017","7021","Valeur annuel","USD","143","","Donnée officielle"
"PP","Prix à la Production","27","Bulgarie","5532","Prix à la Production (USD/tonne)","567","Pastèques","2018","2018","7021","Valeur annuel","USD","193","","Donnée officielle"
"PP","Prix à la Production","27","Bulgarie","5532","Prix à la Production (USD/tonne)","567","Pastèques","2019","2019","7021","Valeur annuel","USD","156","","Donnée officielle"
"PP","Prix à la Production","29","Burundi","5532","Prix à la Production (USD/tonne)","486","Bananes","2019","2019","7021","Valeur annuel","USD","226","","Donnée officielle"
"PP","Prix à la Production","35","Cabo Verde","5532","Prix à la Production (USD/tonne)","486","Bananes","2017","2017","7021","Valeur annuel","USD","1201","","Donnée officielle"
"PP","Prix à la Production","35","Cabo Verde","5532","Prix à la Production (USD/tonne)","567","Pastèques","2017","2017","7021","Valeur annuel","USD","1676","","Donnée officielle"
"PP","Prix à la Production","35","Cabo Verde","5532","Prix à la Production (USD/tonne)","486","Bananes","2018","2018","7021","Valeur annuel","USD","1257","","Donnée officielle"
"PP","Prix à la Production","35","Cabo Verde","5532","Prix à la Production (USD/tonne)","567","Pastèques","2018","2018","7021","Valeur annuel","USD","1754","","Donnée officielle"
"PP","Prix à la Production","35","Cabo Verde","5532","Prix à la Production (USD/tonne)","486","Bananes","2019","2019","7021","Valeur annuel","USD","1202","","Donnée officielle"
"PP","Prix à la Production","35","Cabo Verde","5532","Prix à la Production (USD/tonne)","567","Pastèques","2019","2019","7021","Valeur annuel","USD","1703","","Donnée officielle"
"PP","Prix à la Production","33","Canada","5532","Prix à la Production (USD/tonne)","568","Melons, cantaloups","2017","2017","7021","Valeur annuel","USD","324","","Donnée officielle"
"PP","Prix à la Production","33","Canada","5532","Prix à la Production (USD/tonne)","567","Pastèques","2017","2017","7021","Valeur annuel","USD","324","","Donnée officielle"
"PP","Prix à la Production","33","Canada","5532","Prix à la Production (USD/tonne)","568","Melons, cantaloups","2018","2018","7021","Valeur annuel","USD","360","","Donnée officielle"
"PP","Prix à la Production","33","Canada","5532","Prix à la Production (USD/tonne)","567","Pastèques","2018","2018","7021","Valeur annuel","USD","360","","Donnée officielle"
"PP","Prix à la Production","33","Canada","5532","Prix à la Production (USD/tonne)","568","Melons, cantaloups","2019","2019","7021","Valeur annuel","USD","372","","Donnée officielle"
"PP","Prix à la Production","33","Canada","5532","Prix à la Production (USD/tonne)","567","Pastèques","2019","2019","7021","Valeur annuel","USD","372","","Donnée officielle"
"PP","Prix à la Production","40","Chili","5532","Prix à la Production (USD/tonne)","569","Figues","2017","2017","7021","Valeur annuel","USD","1805","","Donnée officielle"
"PP","Prix à la Production","40","Chili","5532","Prix à la Production (USD/tonne)","592","Kiwis","2017","2017","7021","Valeur annuel","USD","994","","Donnée officielle"
"PP","Prix à la Production","40","Chili","5532","Prix à la Production (USD/tonne)","600","Papayes","2017","2017","7021","Valeur annuel","USD","2135","","Donnée officielle"
"PP","Prix à la Production","40","Chili","5532","Prix à la Production (USD/tonne)","567","Pastèques","2017","2017","7021","Valeur annuel","USD","843","","Donnée officielle"
"PP","Prix à la Production","40","Chili","5532","Prix à la Production (USD/tonne)","592","Kiwis","2018","2018","7021","Valeur annuel","USD","854","","Donnée officielle"
"PP","Prix à la Production","40","Chili","5532","Prix à la Production (USD/tonne)","568","Melons, cantaloups","2018","2018","7021","Valeur annuel","USD","1104","","Donnée officielle"
"PP","Prix à la Production","40","Chili","5532","Prix à la Production (USD/tonne)","600","Papayes","2018","2018","7021","Valeur annuel","USD","2335","","Donnée officielle"
"PP","Prix à la Production","40","Chili","5532","Prix à la Production (USD/tonne)","567","Pastèques","2018","2018","7021","Valeur annuel","USD","842","","Donnée officielle"
"PP","Prix à la Production","40","Chili","5532","Prix à la Production (USD/tonne)","569","Figues","2019","2019","7021","Valeur annuel","USD","2155","","Donnée officielle"
"PP","Prix à la Production","40","Chili","5532","Prix à la Production (USD/tonne)","592","Kiwis","2019","2019","7021","Valeur annuel","USD","1187","","Donnée officielle"
